anio,fecha,ambito,turistas,temporal_fecha,..anio_fecha
2012,2012-01-31,Nacionales,707701,2012-01,2012
2012,2012-01-31,Internacionales,127961,2012-01,2012
2012,2012-02-29,Nacionales,730870,2012-02,2012
2012,2012-02-29,Internacionales,180389,2012-02,2012
2012,2012-03-31,Nacionales,857077,2012-03,2012
2012,2012-03-31,Internacionales,218108,2012-03,2012
2012,2012-04-30,Nacionales,785805,2012-04,2012
2012,2012-04-30,Internacionales,218248,2012-04,2012
2012,2012-05-31,Nacionales,734301,2012-05,2012
2012,2012-05-31,Internacionales,170018,2012-05,2012
2012,2012-06-30,Nacionales,773644,2012-06,2012
2012,2012-06-30,Internacionales,211832,2012-06,2012
2012,2012-07-31,Nacionales,920795,2012-07,2012
2012,2012-07-31,Internacionales,196070,2012-07,2012
2012,2012-08-31,Nacionales,966184,2012-08,2012
2012,2012-08-31,Internacionales,185546,2012-08,2012
2012,2012-09-30,Nacionales,951529,2012-09,2012
2012,2012-09-30,Internacionales,214272,2012-09,2012
2012,2012-10-31,Nacionales,945176,2012-10,2012
2012,2012-10-31,Internacionales,192372,2012-10,2012
2012,2012-11-30,Nacionales,810532,2012-11,2012
2012,2012-11-30,Internacionales,183829,2012-11,2012
2012,2012-12-31,Nacionales,844921,2012-12,2012
2012,2012-12-31,Internacionales,178303,2012-12,2012
2013,2013-01-31,Nacionales,755895,2013-01,2013
2013,2013-01-31,Internacionales,164179,2013-01,2013
2013,2013-02-28,Nacionales,813593,2013-02,2013
2013,2013-02-28,Internacionales,190857,2013-02,2013
2013,2013-03-31,Nacionales,989509,2013-03,2013
2013,2013-03-31,Internacionales,201431,2013-03,2013
2013,2013-04-30,Nacionales,773840,2013-04,2013
2013,2013-04-30,Internacionales,182693,2013-04,2013
2013,2013-05-31,Nacionales,889122,2013-05,2013
2013,2013-05-31,Internacionales,191213,2013-05,2013
2013,2013-06-30,Nacionales,783838,2013-06,2013
2013,2013-06-30,Internacionales,180495,2013-06,2013
2013,2013-07-31,Nacionales,830047,2013-07,2013
2013,2013-07-31,Internacionales,180828,2013-07,2013
2013,2013-08-31,Nacionales,854165,2013-08,2013
2013,2013-08-31,Internacionales,169258,2013-08,2013
2013,2013-09-30,Nacionales,816266,2013-09,2013
2013,2013-09-30,Internacionales,212684,2013-09,2013
2013,2013-10-31,Nacionales,908913,2013-10,2013
2013,2013-10-31,Internacionales,216177,2013-10,2013
2013,2013-11-30,Nacionales,1090584,2013-11,2013
2013,2013-11-30,Internacionales,277519,2013-11,2013
2013,2013-12-31,Nacionales,792758,2013-12,2013
2013,2013-12-31,Internacionales,211353,2013-12,2013
2014,2014-01-31,Nacionales,841582,2014-01,2014
2014,2014-01-31,Internacionales,193397,2014-01,2014
2014,2014-02-28,Nacionales,726914,2014-02,2014
2014,2014-02-28,Internacionales,200963,2014-02,2014
2014,2014-03-31,Nacionales,826578,2014-03,2014
2014,2014-03-31,Internacionales,193599,2014-03,2014
2014,2014-04-30,Nacionales,908346,2014-04,2014
2014,2014-04-30,Internacionales,195876,2014-04,2014
2014,2014-05-31,Nacionales,841925,2014-05,2014
2014,2014-05-31,Internacionales,209367,2014-05,2014
2014,2014-06-30,Nacionales,823671,2014-06,2014
2014,2014-06-30,Internacionales,220176,2014-06,2014
2014,2014-07-31,Nacionales,934306,2014-07,2014
2014,2014-07-31,Internacionales,174087,2014-07,2014
2014,2014-08-31,Nacionales,893316,2014-08,2014
2014,2014-08-31,Internacionales,223116,2014-08,2014
2014,2014-09-30,Nacionales,928003,2014-09,2014
2014,2014-09-30,Internacionales,194788,2014-09,2014
2014,2014-10-31,Nacionales,927200,2014-10,2014
2014,2014-10-31,Internacionales,268069,2014-10,2014
2014,2014-11-30,Nacionales,944911,2014-11,2014
2014,2014-11-30,Internacionales,256932,2014-11,2014
2014,2014-12-31,Nacionales,910054,2014-12,2014
2014,2014-12-31,Internacionales,258088,2014-12,2014
2015,2015-01-31,Nacionales,737023,2015-01,2015
2015,2015-01-31,Internacionales,185057,2015-01,2015
2015,2015-02-28,Nacionales,816548,2015-02,2015
2015,2015-02-28,Internacionales,255753,2015-02,2015
2015,2015-03-31,Nacionales,819108,2015-03,2015
