NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
AC Hotel Santa Fe,Juan Salvador Agraz 130,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348,5 Estrellas,19.358235,-99.277092
Camino Real Santa Fe,Guillermo González Camarena 300,Santa Fe,Álvaro Obregón,1210,5 Estrellas,19.367672,-99.261309
Círculo Mexicano Hotel,Rpública de Guatemala 20,Centro,Cuauhtémoc,6000,5 Estrellas,19.43511257,-99.13282779
City Express Suites Anzures,Leibnitz 120,Nueva Anzures,Miguel Hidalgo,11590,5 Estrellas,19.429322,-99.178733
Crowne Plaza Hotel de México,Dakota 95,Nápoles,Benito Juárez,3810,5 Estrellas,19.396078,-99.174406
Dominion Corporate Suites,Aristóteles 21,Polanco V sección,Miguel Hidalgo,11560,5 Estrellas,19.428836,-99.193747
DoubleTree by Hilton México City Santa Fe,Calle 3 55,Lomas de Santa Fe,Álvaro Obregón,1219,5 Estrellas,19.365179,-99.262181
Eurostars Zona Rosa Suites,Londres 115,Juárez,Cuauhtémoc,6600,5 Estrellas,19.425679,-99.164002
Exe Suites Reforma,Río Amazonas 78,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.430541,-99.163089
Exe Suites San Marino ,Río Tiber 107,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.428707,-99.168803
Fiesta Americana Viaducto Aeropuerto,Avenida Viad. Río de la Piedad 515,Granjas México,Iztacalco,8400,5 Estrellas,19.4054553,-99.1104519
Fiesta Inn Insurgentes Viaducto,Avenida Insurgentes Sur 553,Escandón I sección,Miguel Hidalgo,11800,5 Estrellas,19.40032,-99.170933
Filadelfia Suites Hotel Boutique,Filadelfia 42,Nápoles,Benito Juárez,3810,5 Estrellas,19.393128,-99.175386
Four Seasons Hotel México D. F.,Paseo de la Reforma 500,Juárez,Cuauhtémoc,6600,5 Estrellas,19.422838,-99.174193
Gran Hotel Ciudad de México,16 de Septiembre 82,Centro (Área 1),Cuauhtémoc,6000,5 Estrellas,19.432262,-99.134665
Grand Chapultepec Residencial,Río Atoyac 89,Cuauhtémoc,Cuauhtémoc,6500,5 Estrellas,19.424885,-99.175406
Hampton Inn & Suites By Hilton Ciudad de México Centro Histórico,5 de Febrero 24,Centro (Área 6),Cuauhtémoc,6060,5 Estrellas,19.429971,-99.134499
Hilton México City Reforma,Avenida Juárez 70,Centro (Área 2),Cuauhtémoc,6010,5 Estrellas,19.435025,-99.146398
Hilton México City Santa Fe,Antonio Dovali Jaime 70,Lomas de Santa Fe,Álvaro Obregón,1219,5 Estrellas,19.367847,-99.259924
Holiday Inn & Suites México Médica Sur,Puente de Piedra 150,Toriello Guerra,Tlalpan,14050,5 Estrellas,19.296988,-99.161626
