Clave,alcaldia,IDS,E_IDS_V
2,Azcapotzalco,0.8786477,Medio
3,Coyoacán,0.8761034,Medio
4,Cuajimalpa de Morelos,0.8422069,Medio
5,Gustavo A. Madero,0.8400803,Medio
6,Iztacalco,0.8493623,Medio
7,Iztapalapa,0.8029634,Bajo
8,La Magdalena Contreras,0.8269035,Bajo
9,Milpa Alta,0.7582393,Muy bajo
10,Álvaro Obregón,0.8455274,Medio
11,Tláhuac,0.8088415,Bajo
12,Tlalpan,0.8308535,Bajo
13,Xochimilco,0.8026394,Bajo
14,Benito Juárez,0.9320746,Alto
15,Cuauhtémoc,0.8483011,Medio
16,Miguel Hidalgo,0.8943365,Alto
17,Venustiano Carranza,0.8354642,Medio
